Courses by Dept w Enrlmt,3774,,,,,,,,,,
Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term2,Title,Tot Enrl,Component,Instructor
16300,Active,8732,MA,131,12,4152,Spring 2015,Calculus I,30,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,12,4169,Fall 2016,Calculus I,19,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,13,4152,Spring 2015,Calculus I,26,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,13,4169,Fall 2016,Calculus I,19,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,14,4169,Fall 2016,Calculus I,17,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,21,4169,Fall 2016,Calculus I,27,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,22,4169,Fall 2016,Calculus I,19,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,23,4169,Fall 2016,Calculus I,16,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,24,4169,Fall 2016,Calculus I,23,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,31,4149,Fall 2014,Calculus I,22,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,32,4149,Fall 2014,Calculus I,19,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,41,4149,Fall 2014,Calculus I,21,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,42,4149,Fall 2014,Calculus I,19,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,43,4149,Fall 2014,Calculus I,26,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,44,4149,Fall 2014,Calculus I,18,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,51,4149,Fall 2014,Calculus I,11,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,51,4159,Fall 2015,Calculus I,10,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,52,4149,Fall 2014,Calculus I,21,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,52,4159,Fall 2015,Calculus I,10,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,53,4149,Fall 2014,Calculus I,13,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,53,4159,Fall 2015,Calculus I,8,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,54,4149,Fall 2014,Calculus I,17,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,54,4159,Fall 2015,Calculus I,8,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,61,4149,Fall 2014,Calculus I,21,DIS,"Almomani,Ahmad Rasheed"
